Национальная цель;Показатель;Статистический индикатор;Единица измерения;Тип индикатора;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2035;Нацпроект;Ответственный (ФОИВ);Использовать для агента;Раздел;Декомпозиция по регионам;Периодичность обновления;Ссылка;Год данных;Период;Формат;Примечание;Методика расчета;Тип показателя;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;6.1.2.б. Доля всех исследований осуществляемых в рамках национального проекта, закончившихся успешной разработкой и внедрением новых лекарственных препаратов, медицинских изделий, биомедицинских клеточных продуктов, продуктов тканевой инженерии и медицинских технологий, %;%;Основной;;;;;1.5;5;10;20;30;50;;НП «Новые технологии сбережения здоровья»;Голикова Т.А.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Доля пациентов, которым будет оказана медицинская помощь с применением новых лекарственных препаратов, медицинских изделий, биомедицинских клеточных продуктов, учтенных в рамках проекта, %;%;Дополнительный;;;;;0.1;0.3;0.6;1.7;3.3;5;;ФП «Технологии разработки медицинских изделий, лекарственных и платформ нового поколения» (НП «Новые технологии сбережения здоровья»);Минздрав России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Доля внедренных в клиническую практику иных медицинских организаций биомедицинских и когнитивных технологий от количества разработанных в ходе федерального проекта, %;%;Дополнительный;;;;;;;;17;25;30;;ФП «Регенеративная биомедицина, технологии превентивной медицины, обеспечивающие активное и здоровое долголетие» (НП «Новые технологии сбережения здоровья»);Минобрнауки России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Количество лекарственных препаратов, разработанных и выведенных на рынок на каждые 5 млрд руб., направленных на финансирование прикладных научных исследований, ед.;ед.;Дополнительный;;;0.78;0.78;0.83;0.85;0.88;0.93;0.97;1;;ФП «Управление медицинской наукой» (НП «Новые технологии сбережения здоровья»);Минздрав России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Доля лекарственных средств по перечню стратегически значимых лекарственных средств для медицинского применения, производство которых осуществляется в Российской Федерации по полному циклу, включая синтез фармацевтической субстанции, %;%;Дополнительный;;;69.7;72.1;73.5;74.4;74.9;76.7;79.1;80;;ФП «Развитие производства наиболее востребованных лекарственных препаратов и медицинских изделий» (НП «Новые технологии сбережения здоровья»);Минпромторг России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Доля радиофармацевтических лекарственных препаратов, производство которых осуществляется в Российской Федерации, %;%;Дополнительный;;;90;90.5;91.3;92;92.8;93.5;94.3;95;;ФП «Развитие производства наиболее востребованных лекарственных препаратов и медицинских изделий» (НП «Новые технологии сбережения здоровья»);Минпромторг России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Доля медицинских изделий отечественного производства в общем объеме рынка, %;%;Дополнительный;;;28.5;30.1;31.4;33;34.6;36.4;38.2;40;;ФП «Развитие производства наиболее востребованных лекарственных препаратов и медицинских изделий» (НП «Новые технологии сбережения здоровья»);Минпромторг России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Доля учтенных в рамках федерального проекта допущенных к применению лекарственных препаратов, высокотехнологичных медицинских изделий, медицинских технологий, %;%;Дополнительный;;;;;1.5;5;10;29;39;50;;ФП «Технологии разработки медицинских изделий, лекарственных и платформ нового поколения» (НП «Новые технологии сбережения здоровья»);Минздрав России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Доля граждан, пролеченных с применением новых биомедицинских и когнитивных технологий (в рамках федерального проекта) в различных условиях в медицинских организациях, от числа пролеченных в медицинских организациях, внедривших данные технологии, %;%;Дополнительный;;;;;;;;5;15;30;;ФП «Биомедицинские и когнитивные технологии будущего» (НП «Новые технологии сбережения здоровья»);Минобрнауки России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Количество лекарственных препаратов, производство которых обеспечено на территории Российской Федерации, ед.;ед.;Дополнительный;;;;;200;400;600;800;975;1125;;ФП «Развитие производства наиболее востребованных лекарственных препаратов и медицинских изделий» (НП «Новые технологии сбережения здоровья»);Минпромторг России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Количество новых радиофармацевтических лекарственных средств, производство которых организовано на территории Российской Федерации, ед.;ед.;Дополнительный;;;;;1;2;4;5;6;8;;ФП «Развитие производства наиболее востребованных лекарственных препаратов и медицинских изделий» (НП «Новые технологии сбережения здоровья»);Минпромторг России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.2. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как сбережение здоровья граждан;Дополнительный: Количество медицинских изделий, производство которых организовано на территории Российской Федерации, ед.;ед.;Дополнительный;;;;;700;1300;1900;2400;2900;3400;;ФП «Развитие производства наиболее востребованных лекарственных препаратов и медицинских изделий» (НП «Новые технологии сбережения здоровья»);Минпромторг России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;6.1.3. Достигнутый уровень технологической независимости в сфере продовольственной безопасности, %;%;Основной;;;45.8;;47.6;49.5;52.1;55.5;59.9;66.7;;НП «Технологическое обеспечение продовольственной безопасности»;Патрушев Д.Н.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Объем высева семян подсолнечника отечественной селекции, тонн;тонн;Дополнительный;;;;;15325.51;16858.06;18390.61;19923.16;21455.71;22988.27;;ФП «Создание условий для развития научных разработок в селекции и генетике» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Объем высева семян сахарной свеклы отечественной селекции, тонн;тонн;Дополнительный;;;;;100.16;150.24;257.56;314.8;429.27;1144.72;;ФП «Создание условий для развития научных разработок в селекции и генетике» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Количество суточных цыплят финального гибрида (мясные кроссы кур) отечественной репродукции, млн голов;млн голов;Дополнительный;;;;;29.49;38.78;64.56;112.91;215.04;308.6;;ФП «Создание условий для развития научных разработок в селекции и генетике» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Количество телят молочного крупного рогатого скота живые племенные, тысяча голов;тысяча голов;Дополнительный;;;;;94;95;96;97;98;99;;ФП «Создание условий для развития научных разработок в селекции и генетике» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Количество созданных отечественных технологий с использованием результатов исследований и разработок, востребованных агропромышленным сектором, ед.;ед.;Дополнительный;;;;;6;14;14;20;20;25;;ФП «Создание условий для развития научных разработок в селекции и генетике» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Количество произведенных отечественных химико-фармацевтических ветеринарных препаратов, тыс. упаковок;тыс. упаковок;Дополнительный;;;;;200.2;208.2;216.5;223;229.7;234.3;;ФП «Ветеринарные препараты» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Количество произведенных отечественных ветеринарных вакцин, млн доз;млн доз;Дополнительный;;;;;18972;19351.4;19738.5;20133.3;20536;20946.7;;ФП «Ветеринарные препараты» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.3. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как продовольственная безопасность;Дополнительный: Рост действующих мощностей по производству критически важных ферментных препаратов, пищевых и кормовых добавок, технологических вспомогательных средств, тонна;тонна;Дополнительный;;;;;148000;158000;174000;218000;269000;363000;;ФП «Производство критически важных ферментных препаратов, пищевых и кормовых добавок, технологических вспомогательных средств» (НП «Технологическое обеспечение продовольственной безопасности»);Минсельхоз России;;;;;;;;;;;;
6. Технологическое лидерство;6.1.4. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, как беспилотные авиационные системы;6.1.4. Достигнутый уровень технологической независимости в отрасли БАС, %;%;Основной;;;;37.8;42.5;51;59.4;67.1;75.2;81.1;;НП «Беспилотные авиационные системы»;Савельев В.Г.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);6.1.6.а. Достигнутый уровень технологической независимости в ТЭК, %;%;Основной;;;;30;43;57;67;76;82;90;;НП «Новые атомные и энергетические технологии»;Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);6.1.6.б. Доля отечественного оборудования в ТЭК, %;%;Основной;;;;72;72;78;79;83;84;90;;НП «Новые атомные и энергетические технологии»;Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);6.1.6.в. Объем производства отечественного оборудования в ТЭК, млрд руб.;млрд руб.;Основной;;;;1287;1472;1786;1971;2211;2390;2719;;НП «Новые атомные и энергетические технологии»;Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);6.1.6.г. Достигнутый уровень технологической независимости в области создания новых атомных технологий, %;%;Основной;;;;45;46;47;48;50;52;67;;НП «Новые атомные и энергетические технологии»;Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);6.1.6.д. Количество стран глобального присутствия России на международном рынке атомных и смежных технологий, ед.;ед.;Основной;;;;62;64;66;68;70;72;75;;НП «Новые атомные и энергетические технологии»;Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Количество созданных ключевых технологий двухкомпонентной атомной энергетики, ед.;ед.;Дополнительный;;;;;;;2;4;4;9;;ФП «Новая атомная энергетика» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Количество созданных ключевых технологий атомных станций малой мощности, ед.;ед.;Дополнительный;;;;;;1;1;1;1;1;;ФП «Новая атомная энергетика» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Количество созданных ключевых технологий энергоблоков с водо-водяным энергетическим реактором, ед.;ед.;Дополнительный;;;;;;;;;;1;;ФП «Новая атомная энергетика» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Количество созданных ключевых технологий экспериментально-стендовой базы для разработки технологий двухкомпонентной атомной энергетики, ед.;ед.;Дополнительный;;;;;3;5;6;7;7;8;;ФП «Экспериментально-стендовая база для разработки технологий двухкомпонентной атомной энергетики» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Количество созданных ключевых технологий термоядерной энергетики, ед.;ед.;Дополнительный;;;;;;;;;;10;;ФП «Технологии термоядерной энергетики» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Количество созданных ключевых технологий атомной энергетики, ед.;ед.;Дополнительный;;;;;;;3;4;6;13;;ФП «Специальные материалы и технологии атомной энергетики» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Объем производства энергетического оборудования в натуральном выражении, ед.;ед.;Дополнительный;;;;2;38;94;155;181;188;190;;ФП «Новое оборудование и технологии в электроэнергетике» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.1.6. Обеспечение технологической независимости и формирование новых рынков по таким направлениям, новые энергетические технологии (в том числе атомные);Дополнительный: Объем производства электротехнического оборудования в натуральном выражении, шт.;шт.;Дополнительный;;;13583;27949;74377;194668;547541;822506;1367520;;;ФП «Новое оборудование и технологии в электроэнергетике» (НП «Новые атомные и энергетические технологии»);Новак А.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.2. Увеличение к 2030 году уровня валовой добавленной стоимости в реальном выражении и индекса производства в обрабатывающей промышленности не менее чем на 40 процентов по сравнению с уровнем 2022 года;6.2.а. Темпы роста валовой добавленной стоимости в реальном выражении (к 2022 году, накопленным итогом), %;%;Основной;;;106.9;114.5;118.8;125.2;129.3;133.4;137.2;141;;Единый план;Мантуров Д.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.2. Увеличение к 2030 году уровня валовой добавленной стоимости в реальном выражении и индекса производства в обрабатывающей промышленности не менее чем на 40 процентов по сравнению с уровнем 2022 года;6.2.б. Темпы роста производства в обрабатывающей промышленности (к 2022 году, накопленным итогом), %;%;Основной;;;108.6;116.2;120.5;126.9;131;135.1;138.9;142.7;;Единый план;Мантуров Д.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.3. Обеспечение к 2030 году вхождения Российской Федерации в число 10 ведущих стран мира по объему научных исследований и разработок;6.3. Место Российской Федерации в мире по объему научных исследований и разработок, место;место;Основной;9;9;9;9;9;9;9;8;8;8;;Единый план;Чернышенко Д.Н.;;;;;;;;;;;;
6. Технологическое лидерство;6.3. Обеспечение к 2030 году вхождения Российской Федерации в число 10 ведущих стран мира по объему научных исследований и разработок;Дополнительный: Место Российской Федерации по численности исследователей в эквиваленте полной занятости среди ведущих стран мира, место;место;Дополнительный;;;;6;6;6;6;6;6;6;;ГП «Научно-технологическое развитие Российской Федерации»;Минобрнауки России;;;;;;;;;;;;
6. Технологическое лидерство;6.3. Обеспечение к 2030 году вхождения Российской Федерации в число 10 ведущих стран мира по объему научных исследований и разработок;Дополнительный: Место Российской Федерации по объему затрат на исследования и разработки, место;место;Дополнительный;;;;11;11;11;11;10;10;10;;ГП «Научно-технологическое развитие Российской Федерации»;Минобрнауки России;;;;;;;;;;;;
6. Технологическое лидерство;6.4. Увеличение к 2030 году внутренних затрат на исследования и разработки не менее чем до 2 процентов валового внутреннего продукта, в том числе за счет увеличения инвестиций со стороны частного бизнеса на эти цели не менее чем в два раза;6.4.а. Внутренние затраты на исследования и разработки за счет всех источников в текущих ценах в процентах от ВВП, %;%;Основной;1;0.94;0.96;0.97;1.04;1.13;1.24;1.45;1.69;2;;Единый план;Чернышенко Д.Н.;;;;;;;;;;;;
6. Технологическое лидерство;6.4. Увеличение к 2030 году внутренних затрат на исследования и разработки не менее чем до 2 процентов валового внутреннего продукта, в том числе за счет увеличения инвестиций со стороны частного бизнеса на эти цели не менее чем в два раза;6.4.б. Удельный вес внебюджетных источников в структуре внутренних затрат на исследования и разработки, %;%;Основной;35.4;35.7;36.5;36.8;37.4;38;38.6;38.6;40.6;43;;Единый план;Чернышенко Д.Н.;;;;;;;;;;;;
6. Технологическое лидерство;6.5. Увеличение к 2030 году доли отечественных высокотехнологичных товаров и услуг, созданных на основе собственных линий разработки, в общем объеме потребления таких товаров и услуг в Российской Федерации в полтора раза по сравнению с уровнем 2023 года;6.5. Удельный вес отечественных высокотехнологичных товаров и услуг, созданных на основе собственных линий разработки, в общем объеме потребления таких товаров и услуг в Российской Федерации, балл;балл;Основной;;;1;1;1.1;1.1;1.2;1.3;1.4;1.5;;Единый план;Мантуров Д.В.;;;;;;;;;;;;
6. Технологическое лидерство;6.6. Увеличение к 2030 году выручки малых технологических компаний не менее чем в семь раз по сравнению с уровнем 2023 года;6.6. Объем выручки малых технологических компаний, млрд руб.;млрд руб.;Основной;;;279;670;710;941;1197;1478;1733;1951;;НП «Эффективная и конкурентная экономика»;Мантуров Д.В.;;;;;;;;;;;;
7. Цифровая трансформация государственного и муниципального управления, экономики и социальной сферы;7.1. Достижение к 2030 году «цифровой зрелости» государственного и муниципального управления, ключевых отраслей экономики и социальной сферы, в том числе здравоохранения и образования, предполагающей автоматизацию большей части транзакций в рамках единых отраслевых цифровых платформ и модели управления на основе данных с учетом ускоренного внедрения технологий обработки больших объемов данных, машинного обучения и искусственного интеллекта;7.1. Достижение «цифровой зрелости» государственного и муниципального управления, ключевых отраслей экономики и социальной сферы, в том числе здравоохранения и образования, предполагающей автоматизацию большей части транзакций в рамках единых отраслевых цифровых платформ и модели управления на основе данных с учетом ускоренного внедрения технологий обработки больших объемов данных, машинного обучения и искусственного интеллекта, %;%;Основной;;;;34;45;56;67;78;89;100;;ГП «Информационное общество»;Григоренко Д.Ю.;да;G;нет;ежемесячно;https://fedstat.ru/indicator/62856;2025;2025;ЕМИСС;;;Прямой;
7. Цифровая трансформация государственного и муниципального управления, экономики и социальной сферы;7.2. Формирование рынка данных, их активное вовлечение в хозяйственный оборот, хранение, обмен и защита;7.2. Индекс зрелости рынка данных, %;%;Основной;;;;8.3;14.4;22.2;40;58.9;77.8;100;;НП «Экономика данных и цифровая трансформация государства»;Григоренко Д.Ю.;уточнить;;нет;ежемесячно;https://fedstat.ru/indicator/62811;2025;2025;ЕМИСС;;;Прямой;
7. Цифровая трансформация государственного и муниципального управления, экономики и социальной сферы;7.3. Увеличение доли домохозяйств, которым обеспечена возможность качественного высокоскоростного широкополосного доступа к информационно-телекоммуникационной сети «Интернет», в том числе с использованием сетей (инфраструктуры) спутниковой и мобильной связи и с учетом роста пропускной способности магистральной инфраструктуры, до 97 процентов к 2030 году и до 99 процентов к 2036 году;7.3. Доля домохозяйств, которым обеспечена возможность качественного высокоскоростного широкополосного доступа к информационно-телекоммуникационной сети «Интернет», %;%;Основной;;;;93;93.7;94.3;95;95.7;96.3;97;99;НП «Экономика данных и цифровая трансформация государства»;Григоренко Д.Ю.;нет;;;ежемесячно;https://fedstat.ru/indicator/62803;2025;2025;ЕМИСС;Сейчас РФ и Алтайский край - возможно дополнение ;;Прямой;
7. Цифровая трансформация государственного и муниципального управления, экономики и социальной сферы;7.4. Обеспечение в 2025-2030 годах темпа роста инвестиций в отечественные решения в сфере информационных технологий вдвое выше темпа роста валового внутреннего продукта;7.4. Темп роста инвестиций в отечественные решения в сфере информационных технологий, %;%;Основной;;;;100;112;124;137;152;168;187;;НП «Экономика данных и цифровая трансформация государства»;Григоренко Д.Ю.;нет;;нет;ежемесячно;https://fedstat.ru/indicator/62857;;;;;;Прямой;
7. Цифровая трансформация государственного и муниципального управления, экономики и социальной сферы;7.5. Переход к 2030 году не менее 80 процентов российских организаций ключевых отраслей экономики на использование базового и прикладного российского программного обеспечения в системах, обеспечивающих основные производственные и управленческие процессы;7.5. Доля российских организаций ключевых отраслей экономики, перешедших на использование базового и прикладного российского программного обеспечения в системах, обеспечивающих основные производственные и управленческие процессы, %;%;Основной;;;;46;50;54;59;65;71;80;;НП «Экономика данных и цифровая трансформация государства»;Григоренко Д.Ю.;нет;;нет;ежемесячно;https://fedstat.ru/indicator/62816;;;;;;Прямой;
7. Цифровая трансформация государственного и муниципального управления, экономики и социальной сферы;7.6. Увеличение к 2030 году до 95 процентов доли использования российского программного обеспечения в государственных органах, государственных корпорациях, государственных компаниях и хозяйственных обществах, в уставном капитале которых доля участия Российской Федерации в совокупности превышает 50 процентов, а также в их аффилированных юридических лицах;7.6. Доля российского программного обеспечения, используемого в деятельности государственных органов, государственных корпораций, государственных компаний и хозяйственных обществ, в уставном капитале которых доля участия Российской Федерации в совокупности превышает 50 %, а также в их аффилированных юридических лицах, %;%;Основной;;;;71;74;77;81;85;89;95;;НП «Экономика данных и цифровая трансформация государства»;Григоренко Д.Ю.;да;G;нет;ежемесячно;https://fedstat.ru/indicator/62814;2025;;;найти данные по регионам;;Прямой;
7. Цифровая трансформация государственного и муниципального управления, экономики и социальной сферы;7.7. Увеличение к 2030 году до 99 процентов доли предоставления массовых социально значимых государственных и муниципальных услуг в электронной форме в проактивном режиме или при непосредственном обращении заявителя, за счет внедрения в деятельность органов государственной власти единой цифровой платформы;7.7. Количество массовых социально значимых государственных и муниципальных услуг в электронной форме, доступных с использованием единого портала госуслуг, процесс оказания которых обеспечен ведомствами в проактивном режиме, либо в момент обращения заявителя, единиц;единиц;Основной;;;;2;14;25;51;67;84;100;;НП «Экономика данных и цифровая трансформация государства»;Григоренко Д.Ю.;;;;;;;;;;;;
